,HL,CW,SX,HZ,YZ,BH,ZM,TT,BX,HG,TG,YM,CL,ES,FT,HH,HU,HR,FM,ZL,TY,FY
HL,0,0,1,1,14,12,0,12,3,0,12,9,1,12,19,3,1,10,10,4,2,2
CW,0,0,3,3,13,22,3,10,3,3,5,8,2,8,8,2,11,7,16,3,0,11
SX,0,0,0,2,7,4,1,5,9,0,10,4,0,4,9,4,2,10,7,0,1,0
HZ,0,0,0,0,1,5,2,0,3,3,0,0,2,3,2,6,3,3,1,4,1,2
YZ,0,0,0,0,0,29,0,6,14,0,18,18,3,5,9,5,0,3,4,0,0,7
BH,0,0,0,0,0,0,1,14,11,0,23,7,4,3,13,5,11,10,4,1,3,5
ZM,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,6,1,1,0,0,3
TT,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,0,2,4,7,0,1,11
BX,0,0,0,0,0,0,0,0,0,1,2,1,5,2,2,2,1,0,9,0,0,4
HG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,2,8,6,0
TG,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,11,0,6,0,0,0
YM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,4
CL,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,0,0,0,0
ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,0,1
FT,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,4,1,3,0,4
HH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0
HU,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,3,2,1,0
HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,19
FM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ZL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,15,0
TY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
