,Q,RW,VR,GV,VW,S,W,GW,G,V,R,B,P,M,BP,GR
Q,0,4,2,3,1,3,1,1,1,0,1,0,1,0,1,0
RW,0,31,33,25,31,21,17,27,25,16,1,1,5,1,18,0
VR,0,0,9,7,5,3,4,3,5,5,0,0,0,0,4,0
GV,0,3,0,22,23,32,20,33,28,17,1,1,0,2,28,0
VW,0,0,0,0,3,2,2,2,5,1,0,0,0,0,3,0
S,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,0
W,0,2,0,2,3,0,4,13,12,10,0,0,0,1,8,0
GW,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0
G,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
V,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0
R,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
B,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
