,lav,ant,leo,pic,cla,pel,fia,son,rig,red,cal,ner,spo,rug
lav,0,4,1,1,15,3,42,13,4,6,15,14,71,110
ant,2,0,0,0,1,0,0,3,0,0,0,0,0,0
leo,0,0,0,2,0,2,7,1,0,1,2,1,3,6
pic,0,0,0,0,0,0,2,0,0,0,0,1,0,0
cla,4,0,0,0,0,4,11,16,3,4,1,0,9,7
pel,0,0,0,0,0,0,2,0,2,0,0,0,1,0
fia,4,0,0,0,1,0,0,3,3,3,7,13,31,20
son,2,1,0,0,0,0,1,0,4,0,0,0,19,17
rig,0,0,0,0,0,0,1,0,0,1,0,0,0,1
red,0,0,0,0,0,0,0,1,0,0,0,0,1,1
cal,0,0,0,0,0,0,0,0,0,0,0,5,4,4
ner,0,0,0,0,0,0,0,0,0,0,1,0,1,0
spo,1,0,0,0,0,0,0,0,0,1,0,0,0,15
rug,0,0,0,0,0,0,0,0,0,0,0,0,1,0
