,mer,gas,pip,leo,gol,lan,may,nan,iso,dia,sim,pon,sem,kim,mor,ste,han,cuc,mam,dot,gon,gre,bro,eol,mag,emy,pis
mer,0,94,35,13,24,7,3,7,1,1,59,13,20,1,11,7,9,3,3,10,8,4,9,13,0,0,2
gas,0,0,49,0,13,10,2,0,2,0,34,27,23,5,4,0,6,3,4,7,1,0,0,2,0,2,0
pip,0,0,0,3,10,14,3,1,1,0,25,26,34,10,5,2,10,2,3,2,8,0,4,6,0,1,2
leo,0,0,0,0,6,0,1,0,0,0,14,2,0,3,0,0,8,0,3,0,1,0,0,1,0,0,1
gol,0,0,0,0,0,5,1,0,3,1,19,13,24,3,1,2,4,3,6,12,5,2,8,7,7,3,3
lan,0,0,0,0,0,0,3,0,4,0,16,9,18,10,7,3,5,6,8,14,18,2,3,10,6,3,3
may,0,0,0,0,1,0,0,3,1,0,8,6,8,16,7,10,6,10,5,6,7,3,6,7,2,2,7
nan,0,0,0,0,0,0,1,0,2,0,6,1,1,3,3,0,7,0,1,0,0,7,1,1,0,0,3
iso,0,0,0,0,2,0,0,0,0,1,1,3,18,2,7,8,0,4,6,5,4,0,5,10,7,4,6
dia,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sim,0,0,0,0,3,0,0,0,0,0,0,13,98,3,0,0,7,4,1,3,7,2,3,4,2,1,0
pon,0,0,0,0,0,0,0,0,0,0,12,0,8,4,1,1,6,0,2,1,3,4,1,1,0,1,1
sem,0,0,0,0,1,0,1,0,0,2,0,1,0,5,3,0,0,7,8,13,10,0,3,3,6,11,5
kim,0,0,0,0,0,0,0,0,0,1,0,3,5,0,1,3,3,6,3,2,4,0,1,4,0,1,2
mor,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,8,4,2,8,0,4,3,3,2,5
ste,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0
han,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,1,0,3,1,0,1
cuc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,0,4,4,1,2,2
mam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,4,1,0,4
dot,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,1,7,5,1,4,1
gon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,9,5,2,1,1
gre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2
eol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,11,5
mag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
