,WT,WH,WS,GA,BR,BA,TD,WG,PM,CA,GD,DA,2B,2D,2G,2S,TA
WT,0,2,8,6,8,10,8,15,5,12,6,14,9,15,4,3,9
WH,0,0,6,8,6,1,2,0,3,7,9,4,4,0,2,4,2
WS,0,0,0,1,9,8,7,0,1,9,11,10,7,1,6,1,4
GA,0,0,0,0,3,1,2,0,2,4,3,8,5,3,1,2,0
BR,0,0,0,1,0,2,3,12,4,9,11,6,6,13,5,3,7
BA,0,6,0,0,1,0,2,0,1,3,7,5,4,0,3,0,5
TD,0,0,0,0,1,0,0,7,1,4,4,1,3,6,3,5,3
WG,0,2,3,0,0,0,1,0,0,8,4,3,5,3,5,4,3
PM,0,0,0,0,0,0,0,0,0,6,7,6,9,9,7,9,6
CA,0,0,0,0,0,0,0,0,1,0,8,5,10,9,9,5,8
GD,0,0,0,0,0,0,0,0,0,2,0,18,8,4,6,8,5
DA,0,0,0,0,0,0,0,0,1,2,2,0,5,4,8,7,4
2B,0,0,0,0,0,0,0,0,0,0,4,4,0,5,6,7,10
2D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4
2G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2S,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4
TA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
