,x41,x1,x109,x94,x117,x8,x63,x59,x124,x86,x50,x88,x49,x84,x24,x68,x110,x23,x64,x93,x75,x27,x140,x83,x97,x89,x123,x105,x106,x174,x103,x148,x111,x116,x137,x139,x119,x183,x147,x131,x153,x143,x159,x161,x155
x41,0,1,2,0,0,0,3,1,0,0,3,1,0,1,2,2,0,0,2,1,0,0,0,0,1,0,3,1,0,0,2,0,1,0,0,1,0,2,0,0,1,0,2,0,0
x1,0,0,1,2,1,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,2,2,0,1,1,0,1,2,2,2,0,0,1,0,0,1,1,0,1,2,1,0
x109,0,0,0,1,1,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
x94,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
x117,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,2,0
x8,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
x63,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,2,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,3,2,2,0,1,0,0
x59,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
x124,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,1,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0
x86,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,4,2,1,2,0,2,0,0,0,0,0,0,1,0,3,0,1,3,3,3,1,1,2,0,1,5,0,0
x50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,1,0,0,0,0,0,1,0,1,0,1,0,4,1,2,0,2,0,1,0,0,2,1,0,3,1
x88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,3,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,2,0,1,0,1,2
x49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0
x84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,0,0,0,1,2,4,0,0,7,0,2,0,0
x24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1,0,4,1,1,2,3,1,1,1,1,1,2,0,1,4,1,0,1,1
x68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,3,1,3,1,0,0,3,2,0,2,0,0,1,2
