,a853,a855,b30,frh,b26,b19,b20,a839,b27,a843,b16,b23,a870,y06,y12,y17,y18
a853,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0
a855,0,0,0,1,0,0,0,0,2,2,0,0,1,2,0,5,1
b30,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,2,3
frh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
b26,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
b19,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,1
b20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
a839,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0
b27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1
a843,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0
b16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
b23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
a870,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
y06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
y12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
y17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
