,x16,x7,x15,x94,x41,x60,x73,x42,x68,x8,x34,x90,x59,x96,x86,x71,x54,x50,x49,x24,x63,x84,x31,x35,x64,x93,x46,x88,x45,x27
x16,0,1,8,0,0,0,0,2,0,1,1,2,2,1,1,2,1,0,1,0,0,1,3,0,1,1,1,1,2,1
x7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
x15,1,0,0,0,1,0,0,2,0,0,1,2,0,1,2,2,3,1,3,0,1,2,2,0,4,1,0,1,1,1
x94,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
x41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,2
x60,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
x73,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0
x42,0,0,0,0,0,1,1,0,0,0,0,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,3,1,1
x68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,2
x8,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,2,1,1,1,0,0,0,1,0,0,1,0,1,0
x34,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0
x90,1,0,0,0,1,0,0,1,1,3,0,0,0,0,0,2,0,1,3,1,0,0,2,0,0,0,0,2,0,0
x59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,1,1,2
x96,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
x86,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,3,1,0,0,1,0,1,1,2,3
x71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,1,1,0,2,2,0,1,2,2,0,0
x54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1
x50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0
x49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,1,0,1,3
x24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,5,0
x63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
x84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,1
x31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1
x35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
x64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2
x93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
x46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0
x88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
x45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
x27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
