,x04,x15,x18,x05,x02,x08,x22,x17,x09,x03,x19,x16,x25,x23,x28,x20,x26,x14
x04,0,3,7,7,3,0,0,0,2,0,1,0,0,0,0,0,0,0
x15,0,0,10,12,1,0,9,0,1,1,1,5,3,4,0,1,0,0
x18,0,0,0,13,6,1,0,0,3,0,2,2,1,0,0,1,0,0
x05,0,0,0,0,50,0,1,1,9,0,6,6,0,1,0,0,0,0
x02,0,0,0,0,0,0,2,1,27,0,0,1,2,1,0,1,0,0
x08,0,0,0,0,0,0,1,0,0,6,0,10,0,0,1,0,0,0
x22,0,0,0,0,0,0,0,2,1,4,0,1,2,2,1,0,0,0
x17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x09,0,0,0,0,0,0,0,0,0,0,9,17,1,0,0,1,0,0
x03,0,0,0,0,0,0,0,0,0,0,1,7,9,1,4,0,1,0
x19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,0,0
x16,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,2,0
x25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0
x23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
x28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
x20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
