,stiff,stu,red,russ,fem,swat,major,spot,vee,gin,kub,dogo,bell,mindi,i-ring,i-fluff
stiff,0,14,27,21,15,10,0,13,4,13,6,1,0,0,0,0
stu,0,0,16,11,23,9,2,11,7,12,1,1,0,0,0,0
red,0,3,0,45,22,21,1,40,16,14,9,5,0,0,0,0
russ,0,0,0,0,8,21,0,21,8,17,5,5,0,0,0,0
fem,0,0,0,0,0,0,0,2,5,36,1,1,0,0,0,0
swat,0,0,0,0,15,0,0,34,18,16,18,13,0,0,0,0
major,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
spot,0,0,0,0,0,0,1,0,16,27,2,12,0,0,0,0
vee,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,0
gin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kub,0,0,0,0,1,0,0,0,1,2,0,3,0,0,0,0
dogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i-ring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i-fluff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
