,bj,peter,ivan,crest,stubby,dutch,sinister,max,cowlick,ben,even,stiff,stu,red,russ,swat,major,spot,kub,dogo,iring
bj,0,67,61,41,82,131,35,77,54,71,32,17,15,9,11,5,0,1,0,4,0
peter,0,0,38,30,79,48,22,32,32,33,19,9,2,6,6,1,0,2,0,0,0
ivan,11,48,0,12,103,185,55,117,93,94,42,35,21,21,32,6,0,27,1,1,0
crest,0,0,0,0,34,50,11,18,14,10,2,5,8,4,4,2,0,4,1,1,0
stubby,10,30,91,4,0,84,38,97,59,139,73,24,26,28,19,11,1,4,5,0,0
dutch,0,0,0,14,0,0,31,48,58,23,23,12,6,10,12,6,0,8,0,1,0
sinister,0,0,0,2,0,0,0,38,19,17,16,10,8,9,12,4,0,3,2,3,0
max,0,0,0,0,0,0,0,0,34,52,30,14,16,14,13,8,0,17,3,3,0
cowlick,0,0,0,2,0,18,24,20,0,27,15,2,5,6,5,2,0,1,0,0,0
ben,0,0,0,0,0,0,0,0,0,0,71,21,26,26,26,7,0,7,3,1,0
even,0,0,0,0,0,0,0,0,0,0,0,41,47,31,47,16,1,16,3,4,0
stiff,0,0,0,0,0,0,0,0,0,0,0,0,14,27,21,10,0,13,6,1,0
stu,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,9,2,11,1,1,0
red,0,0,0,0,0,0,0,0,0,0,0,0,3,0,45,21,1,40,9,5,0
russ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,5,5,0
swat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,18,13,0
major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
spot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,0
kub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
dogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
