,skinny,tt,alto,momo,lulu,fluff,preg,scar,oval,judy,ring,fem,vee,gin,bell,mindi,fluffinf
skinny,0,3,2,2,2,3,2,1,4,2,3,1,1,0,0,0,0
tt,0,0,37,26,21,27,26,20,19,24,15,16,7,11,1,0,0
alto,0,0,0,22,39,34,31,23,45,21,70,17,4,2,0,0,0
momo,0,0,0,0,39,38,61,30,34,29,20,8,1,1,0,0,0
lulu,0,0,0,0,0,26,43,35,35,15,12,9,4,6,0,0,0
fluff,0,0,0,0,0,0,27,27,45,19,24,8,3,2,0,0,0
preg,0,0,0,0,0,0,0,19,34,17,8,17,5,4,1,0,0
scar,0,0,0,0,0,0,1,0,58,34,16,16,1,10,0,0,0
oval,0,0,0,0,0,0,0,0,0,43,19,37,6,6,0,0,0
judy,0,0,0,0,0,0,0,0,0,0,12,9,4,7,0,0,0
ring,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0
fem,0,0,0,0,0,0,0,0,0,4,1,0,5,36,0,0,0
vee,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
gin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fluffinf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
