,AL-D1,MO,LU,FL-D,PR,SC,RI-D1,RI-D2,SL,OV,HA,PL,BR,ES
AL-D1,0,42,22,22,44,22,23,10,11,40,13,10,6,15
MO,0,0,14,20,16,19,14,13,22,33,26,25,12,12
LU,0,0,0,28,16,15,21,19,22,11,15,24,10,5
FL-D,0,0,0,0,28,16,24,21,11,24,27,19,9,9
PR,0,0,0,0,0,11,12,13,15,15,12,11,10,5
SC,0,0,0,0,0,0,18,11,8,24,4,10,4,4
RI-D1,0,0,0,0,0,0,0,36,25,14,31,42,13,8
RI-D2,0,0,0,0,0,0,0,0,40,14,24,41,14,18
SL,0,0,0,0,0,0,0,0,0,60,8,27,15,6
OV,0,0,0,0,0,0,0,0,0,0,19,23,19,12
HA,0,0,0,0,0,0,0,0,0,0,0,32,17,16
PL,0,0,0,0,0,0,0,0,0,0,0,0,37,22
BR,0,0,0,0,0,0,1,0,0,0,0,0,0,3
ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
