,AL-D1,AL-G,AL-D3,AL-D2,MO-D,SC-D2,FL-D,FL-G,PR-D,PR,SC-D1,SC,R1-D2,OV-D1,OV-D2,SL,HA,PL,EN,JU-D
AL-D1,0,3,3,5,5,6,3,2,9,8,7,5,8,2,3,10,11,0,4,2
AL-G,0,0,7,19,13,6,2,9,5,10,4,9,7,3,6,6,9,3,4,3
AL-D3,0,0,0,10,3,5,4,2,4,9,2,1,4,2,5,5,2,3,1,2
AL-D2,0,0,0,0,9,9,3,11,15,6,10,2,7,2,5,3,12,3,6,5
MO-D,0,0,0,0,0,14,0,2,7,6,5,2,3,6,4,5,3,1,5,6
SC-D2,0,0,0,0,0,0,6,5,8,11,8,0,5,0,6,5,5,5,4,2
FL-D,0,0,0,0,1,0,0,0,12,5,6,3,2,3,3,3,8,2,4,1
FL-G,0,0,0,0,0,0,0,0,3,6,3,4,1,0,9,2,0,0,1,0
PR-D,0,0,0,0,0,0,0,0,0,0,5,2,7,1,7,6,2,1,5,7
PR,0,0,0,0,0,0,0,0,0,0,2,2,1,5,4,2,5,1,3,1
SC-D1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,8,7,9,7,3,2
SC,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,1,1,6,2
R1-D2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,1,7,6
OV-D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,5,6,3
OV-D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,1,1
SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10
HA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,9,5
PL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,10
EN,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,20
JU-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
