,Q,KBK,HD,RUM,CHO,FRO,GAN,JE,MU,TIN,BL,J,MAR,ED,SPO,BO,GYP,GIN
Q,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,11,0,1
KBK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HD,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,1,0,7
RUM,1,0,0,0,4,1,0,0,0,0,5,2,2,5,0,0,0,2
CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRO,2,0,0,0,0,0,25,0,0,0,0,1,0,0,0,1,0,0
GAN,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
JE,0,0,1,0,0,0,0,0,17,0,0,0,1,0,0,1,0,2
MU,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
TIN,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0
BL,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,1
ED,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,2,0,0
SPO,0,0,4,0,0,0,0,0,0,0,5,5,0,1,0,80,0,0
BO,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1
GYP,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
GIN,1,0,1,0,1,0,1,1,1,0,2,3,0,0,0,1,0,0
