,SCO,MNT,GEO,PEN,MIC,TAZ,GYA,WAR,VNC,ELB,CEZ,REN,PIC,RIG,BET,DAL,REM
SCO,0,0,0,2,2,1,1,5,5,2,0,0,3,1,1,0,0
MNT,0,0,1,0,0,1,0,0,0,0,5,0,4,0,0,2,0
GEO,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,2,0
PEN,2,0,1,0,5,0,1,2,1,0,4,0,5,0,0,2,0
MIC,2,0,0,0,0,1,3,1,2,0,1,0,4,0,0,1,0
TAZ,1,0,0,0,2,0,3,5,0,1,2,0,8,2,0,4,0
GYA,0,0,0,1,0,1,0,2,2,0,1,0,3,0,1,0,1
WAR,0,1,0,0,3,3,0,0,4,0,0,0,7,0,2,3,0
VNC,0,0,0,0,1,4,0,1,0,3,0,0,7,0,0,5,1
ELB,0,1,0,0,1,1,0,1,0,0,0,0,2,0,1,0,0
CEZ,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,4
REN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PIC,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,3,0
RIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BET,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
