,a20,a60,a30,a10,a12,a1,a40,a15,a50,a13,a2,a6,a5,a3,a4
a20,0,1,3,2,0,7,2,5,8,5,5,16,12,4,11
a60,0,0,14,7,0,7,18,7,10,4,4,0,4,4,1
a30,0,0,0,21,4,9,12,5,4,5,3,1,3,0,1
a10,0,0,1,0,2,19,11,8,3,1,0,1,1,1,1
a12,0,0,1,0,0,6,3,4,2,2,7,1,0,2,2
a1,0,0,0,0,0,0,16,8,2,3,0,3,1,0,0
a40,0,0,0,0,0,0,0,24,16,7,2,2,3,1,0
a15,0,0,0,0,0,0,0,0,13,2,1,2,2,0,1
a50,0,0,0,0,0,0,0,0,0,6,4,2,5,1,2
a13,0,0,0,0,0,0,0,0,1,0,7,1,2,0,0
a2,0,0,0,0,0,0,0,0,0,0,0,12,6,1,0
a6,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
a5,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3
a3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
a4,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
