,BqMa,SuMa,MeMa,ElMs,PeMs,EdMj,FrMj,VsFj,LbMj,CsFj,MnMj,QuMi,DwMi,FiFa,AnFa,MeFa,JaFa
BqMa,0,3,4,6,6,8,4,5,5,2,10,15,1,1,5,4,8
SuMa,0,0,3,0,2,0,2,0,1,0,0,0,0,0,0,0,0
MeMa,0,1,0,3,5,2,4,4,3,0,2,1,0,0,0,0,2
ElMs,0,0,0,0,12,10,14,9,8,5,9,7,2,0,0,0,1
PeMs,0,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0
EdMj,0,0,0,0,0,0,0,22,4,2,1,3,3,0,0,0,0
FrMj,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
VsFj,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
LbMj,0,0,0,0,0,0,1,1,0,4,0,2,1,0,0,0,0
CsFj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MnMj,0,0,0,0,0,1,0,4,1,2,0,1,1,0,0,0,0
QuMi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DwMi,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
FiFa,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0,0,0
AnFa,0,0,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0
MeFa,0,1,2,0,1,0,0,2,1,0,1,2,2,2,3,0,2
JaFa,0,0,0,0,1,0,2,2,1,2,2,0,5,0,0,0,0
