,Bartail,Patch,Crease,Notch,Kink,Anon,Slitear,Scallop,Spunk,Sport,Spot,Sam,Nick,X,Mel,Gary,Andy,Wong,Gus,Nip,Jim
Bartail,0,7,6,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Patch,0,0,0,2,1,4,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0
Crease,0,0,0,9,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Notch,0,1,0,0,4,2,0,1,0,0,1,2,0,1,4,1,0,0,0,0,0
Kink,0,0,0,0,0,16,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0
Anon,0,0,1,1,1,0,0,3,3,0,2,0,0,1,3,1,1,0,0,0,0
Slitear,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scallop,0,0,0,0,2,1,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0
Spunk,0,0,0,0,0,0,0,1,0,0,4,2,0,2,0,0,0,1,0,0,0
Sport,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,2,0,0,0,0,0
Spot,0,0,0,1,1,1,0,0,0,0,0,9,1,2,8,0,0,0,0,0,0
Sam,0,0,1,0,2,1,1,0,1,0,0,0,5,14,12,1,1,0,0,0,0
Nick,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
X,0,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0
Mel,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,2,2,0,0,0
Gary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Wong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
Nip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
