,KT,DB,TK,DC,CD,CV,WK,OB,NI,CH,ZH,AM,TO,MZ,ZR
KT,0,1,19,7,5,6,4,2,1,3,2,7,0,0,3
DB,0,0,2,0,1,1,4,2,0,1,0,2,0,0,1
TK,0,0,0,30,6,24,2,0,0,1,5,9,5,0,4
DC,0,0,1,0,9,12,13,2,3,6,1,14,4,5,4
CD,0,0,0,0,0,7,10,3,0,1,5,9,2,0,4
CV,0,0,0,0,0,0,13,5,3,3,2,5,4,2,11
WK,0,0,0,0,0,0,0,3,3,1,5,5,5,5,0
OB,0,0,0,0,0,0,2,0,3,0,2,2,0,0,0
NI,0,0,0,1,0,0,0,0,0,1,4,3,1,0,0
CH,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1
ZH,0,0,0,0,0,0,0,0,0,0,0,8,14,5,4
AM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
TO,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1
MZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
