,a01,a03,a04,a26,a02,a25,a06,a08,a24,a09,a05,a23,a10,a07,a12,a17,a18,a13,a14,a21,a19,a15,a11,a20,a16,a22
a01,0,8,5,0,2,0,6,11,0,3,21,0,5,7,1,3,5,2,3,4,2,1,0,7,0,0
a03,0,0,4,0,0,0,4,4,0,8,12,0,12,3,2,2,7,5,1,3,4,0,0,5,1,0
a04,1,1,0,0,3,0,1,4,0,4,8,0,10,1,0,1,4,6,0,2,2,3,1,4,0,3
a26,0,0,0,0,7,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0
a02,1,2,3,1,0,0,1,3,0,0,3,0,3,2,2,1,3,2,4,1,1,1,0,2,0,0
a25,2,0,0,0,0,0,0,0,8,12,0,1,7,0,0,0,0,0,8,3,3,2,0,0,0,0
a06,1,0,0,0,0,0,0,5,0,2,6,0,5,1,2,1,1,3,1,0,1,1,0,4,0,0
a08,2,0,1,0,1,0,0,0,5,11,3,6,6,0,0,4,2,2,1,0,6,0,1,7,1,1
a24,0,0,1,0,0,0,0,2,0,2,0,1,2,0,0,1,0,1,3,3,2,2,0,1,0,0
a09,4,0,1,0,0,1,2,3,1,0,0,2,9,1,0,4,0,0,2,4,4,3,0,3,2,0
a05,1,2,0,0,1,0,6,4,0,0,0,0,17,3,0,6,5,8,0,2,5,2,1,4,0,1
a23,2,0,0,0,1,3,0,1,0,2,0,0,1,0,0,1,0,5,3,3,1,0,0,1,0,0
a10,1,1,0,0,0,0,1,2,1,2,1,0,0,6,0,3,4,4,7,6,4,5,0,7,2,0
a07,3,2,0,0,0,0,0,1,0,0,2,0,0,0,3,1,2,2,3,1,1,1,0,4,1,1
a12,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,1,2,0,2,0,0,0,4,0,0
a17,1,0,0,0,0,0,0,2,0,2,2,0,1,1,0,0,8,2,2,2,3,0,0,1,0,0
a18,1,0,1,0,0,0,1,5,0,6,3,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0
a13,1,0,0,0,0,0,2,0,0,1,2,0,2,1,2,1,1,0,3,1,3,1,1,12,1,1
a14,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,4,0,0,0,7,3,0,0,0,1,0
a21,0,0,0,0,0,7,0,0,1,0,0,0,2,1,0,0,0,0,1,0,5,2,1,0,1,0
a19,0,0,2,0,0,0,0,0,0,2,1,0,1,4,0,1,0,1,1,3,0,5,1,3,0,0
a15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,9,2,0
a11,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,9
a20,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,3,0,1,2,2,1,1,0,0,0,0
a16,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
a22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
