,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
x1,0,28,23,30,5,4,41,19,46,23,34,2,25,0
x2,0,0,16,0,5,2,2,18,7,7,14,11,0,9
x3,0,0,0,0,11,16,0,5,9,0,12,0,7,2
x4,0,0,0,0,2,0,5,9,0,14,12,7,0,4
x5,0,0,0,0,0,3,11,0,12,4,0,5,4,0
x6,0,0,0,0,0,0,1,0,0,0,0,5,0,0
x7,0,0,0,0,0,0,0,2,0,0,12,2,0,4
x8,0,0,0,0,0,0,0,0,12,4,2,0,0,0
x9,0,0,0,0,0,0,0,0,0,2,0,5,0,0
x10,0,0,0,0,0,0,0,0,0,0,0,0,1,0
x11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
x14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
