,FF,PI,GM,FN,SW,HO,TZ,SA,CD,TTA,TA,SIF,MAK,NAS,KP,NUR,JF,BAH
FF,0,1,1,1,0,0,0,0,3,1,0,1,1,1,0,4,0,0
PI,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
GM,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0
FN,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,1,0,2
SW,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
HO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
TZ,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0
SA,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
SIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1
NAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JF,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
