,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
x1,0,0,3,0,9,7,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2,1,0,0,0
x2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,0,4
x3,0,0,0,0,14,0,1,0,0,0,1,0,4,1,4,0,2,0,0,0,1,7,0,0,2,0,0,0
x4,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
x5,0,0,0,0,0,1,0,0,0,0,4,0,11,0,1,0,5,0,0,0,2,0,0,5,9,0,0,0
x6,0,0,0,0,0,0,7,0,0,0,5,3,5,2,12,0,5,0,0,0,8,0,4,4,5,0,0,0
x7,0,0,0,0,0,0,0,0,0,0,3,6,10,2,30,3,5,0,0,0,16,0,4,3,15,3,2,0
x8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,2,0,0,0,2,0,0,0,0,1,0,1
x12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
x13,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,2,0,1,0
x14,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,9,1,1,0,0
x15,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
x16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,9,0,0,0,3,2,0,5,0,0
x18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0
x19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x21,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,7,2
x22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
x23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
