,C9,C16,C13,C12,C5,C1,C8,C7,C14,C11,C10,C15,C3,C6,C4,C2
C9,0,5,11,4,1,4,4,1,7,15,15,12,4,1,0,16
C16,0,0,12,8,2,4,2,5,9,49,29,31,16,14,6,26
C13,1,0,0,30,1,0,2,2,11,35,30,15,43,9,2,58
C12,0,0,0,0,0,2,1,0,0,5,4,0,6,9,8,7
C5,3,0,0,0,0,5,0,2,0,6,5,1,0,1,1,0
C1,0,0,6,0,1,0,1,1,0,7,0,0,0,4,3,4
C8,0,6,0,0,0,0,0,2,1,2,7,3,4,6,3,0
C7,0,3,3,34,0,0,0,0,4,9,5,0,9,4,2,14
C14,0,0,0,1,0,0,0,1,0,4,6,2,2,2,1,1
C11,0,0,0,0,1,2,0,1,0,0,50,23,10,17,24,8
C10,0,0,0,0,3,2,0,7,2,0,0,15,9,12,14,18
C15,0,0,0,0,1,0,0,7,0,9,5,0,5,6,4,3
C3,0,0,0,0,0,0,0,2,0,0,0,0,0,5,16,18
C6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,13
C4,1,0,0,0,1,0,0,2,0,0,1,0,1,1,0,14
C2,0,1,0,0,5,2,3,1,0,5,4,3,1,2,0,0
