,x-7,1T,x5,K8,K-,1Y,DT,A9,DD,F,H,x-3,K3,J,A-,K,T,DK,D2
x-7,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7
1T,1,0,0,1,0,0,0,5,2,1,1,0,4,0,1,1,1,0,4
x5,0,0,0,2,0,0,1,4,5,0,0,0,0,0,0,1,1,1,2
K8,0,0,0,0,0,1,0,0,0,5,5,1,2,0,0,0,0,0,0
K-,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,3,0
1Y,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1
DT,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
A9,0,0,0,0,1,0,0,0,0,2,4,0,0,5,1,3,3,1,1
DD,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1
F,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,9,0
H,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
x-3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,2,3
K3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1
J,0,0,0,0,0,0,1,4,0,1,1,1,0,0,0,2,2,0,1
A-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
K,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DK,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0
D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
