,GA-BR,YA-RB,YA-YB,YY-AR,YA-BB,RA-B,YA-G,BY-YA,GB-AR,RA-G,GY-YA,RR-BA,GB-BA,A303,Y47A
GA-BR,0,10,8,8,1,5,25,7,1,0,1,9,3,15,3
YA-RB,0,0,59,23,50,33,78,50,15,18,53,16,35,20,15
YA-YB,0,0,0,15,3,10,10,15,4,4,15,4,11,6,5
YY-AR,0,0,0,0,18,1,15,27,9,4,19,2,18,2,6
YA-BB,0,0,3,0,0,9,17,12,6,13,26,0,8,2,0
RA-B,0,0,0,0,0,0,39,4,0,0,9,3,15,2,0
YA-G,0,0,1,2,0,0,0,7,3,3,9,5,10,11,6
BY-YA,0,0,0,3,1,0,0,0,3,9,46,2,11,6,2
GB-AR,0,0,0,0,0,0,0,0,0,3,0,2,10,3,7
RA-G,0,0,0,0,0,0,0,1,0,0,2,1,3,0,2
GY-YA,0,0,0,2,0,0,0,0,0,1,0,2,3,3,7
RR-BA,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0
GB-BA,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
A303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Y47A,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
