,a1,a2,a3,a4,a5,a7,a8,a9,a13,a15,a17,a19,a21,a23,a25,a27,j1,j2
a1,0,6,2,1,1,4,5,1,3,1,4,2,1,1,1,1,5,5
a2,0,0,4,3,2,3,2,2,2,2,0,2,2,0,2,0,3,3
a3,1,3,0,0,1,0,1,0,0,2,1,0,0,0,0,0,3,1
a4,0,0,1,0,2,1,0,0,2,2,0,0,0,0,2,1,2,0
a5,31,17,13,26,0,22,130,77,23,49,27,12,64,32,101,44,0,0
a7,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
a8,0,0,0,1,5,0,0,0,0,4,0,0,0,0,4,1,2,0
a9,22,18,18,19,96,31,69,0,51,18,43,14,13,7,62,46,14,7
a13,0,1,0,1,16,0,24,11,0,2,2,2,3,2,33,20,7,0
a15,1,10,2,5,1,3,9,0,0,0,0,0,6,2,1,7,3,0
a17,0,2,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,3
a19,0,7,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
a21,10,34,50,69,28,7,37,10,66,40,87,6,0,19,35,10,0,8
a23,0,0,0,0,11,4,0,9,0,0,0,0,0,0,0,0,0,0
a25,8,52,40,20,56,69,110,20,117,25,55,7,98,31,0,40,3,0
a27,11,17,18,4,10,66,44,0,73,26,43,2,0,16,26,0,0,2
j1,6,10,0,0,2,3,0,4,0,0,0,0,5,0,0,12,0,0
j2,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,3,0
