,BLm,Qum,THd,THm,MNd,Mem,Qud1,MNg1,Med1,MNg2,THg1,Qud2,THg2,BLd,MNgg,Med2,Qug,MNg3
BLm,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
Qum,0,0,6,1,0,2,1,0,1,2,2,2,1,1,1,0,1,2
THd,0,0,0,4,4,2,0,0,8,1,2,8,0,1,4,2,2,1
THm,0,0,0,0,1,2,5,1,1,1,1,0,2,1,5,0,3,0
MNd,0,0,0,0,0,1,7,2,3,1,1,2,3,0,1,3,1,0
Mem,0,0,0,0,0,0,0,2,2,4,3,7,2,1,2,1,5,3
Qud1,0,0,1,0,0,0,0,1,0,1,2,5,1,1,3,2,0,2
MNg1,0,0,3,0,0,0,0,0,1,1,3,2,3,0,2,1,0,0
Med1,0,0,0,0,0,0,0,0,0,1,8,6,2,1,5,0,2,4
MNg2,0,0,0,0,0,0,0,0,0,0,4,6,5,1,0,5,1,1
THg1,0,0,0,0,0,0,0,0,0,1,0,12,8,0,6,17,6,5
Qud2,0,0,0,0,0,0,0,0,0,0,1,0,8,0,4,5,0,3
THg2,0,0,0,0,0,0,0,0,0,0,0,1,0,15,13,9,3,6
BLd,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,3
MNgg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,3,2
Med2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29
Qug,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
MNg3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
