,YZY,BGR,BGB,RWZ,BBG,WZZ,BWB,WRZ,GRR,RYZ,WYR,GYR,RRZ,BRB,GYZ,RBY,BZR,BBR
YZY,0,20,0,12,5,12,9,5,13,8,3,2,5,7,6,2,6,0
BGR,0,0,5,16,0,20,18,3,23,14,1,1,5,2,6,4,9,0
BGB,0,2,0,4,3,4,10,5,10,7,1,0,7,7,4,4,2,0
RWZ,0,1,1,0,1,14,16,0,16,7,4,1,5,0,4,3,4,0
BBG,0,0,0,0,0,4,2,1,4,4,2,1,4,5,4,1,6,0
WZZ,0,0,2,0,0,0,15,4,17,8,3,0,5,5,2,5,7,1
BWB,0,0,7,0,3,1,0,3,21,18,11,3,0,5,3,4,6,0
WRZ,0,0,0,0,1,1,2,0,7,1,0,2,4,8,3,2,5,0
GRR,0,0,1,0,5,2,0,3,0,23,1,0,6,0,10,5,6,1
RYZ,0,0,5,0,1,0,1,2,0,0,1,4,1,6,2,0,8,0
WYR,0,0,0,0,0,0,0,1,0,1,0,1,3,1,1,0,4,0
GYR,0,0,1,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2
RRZ,0,0,0,0,0,0,0,2,2,2,1,1,0,6,2,5,5,2
BRB,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,1,4,0
GYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
RBY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
BZR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
BBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
