,x716,x641,x756,x722,x738,x715,x671,x754,x724,x681,x737,x746,x661,x744,x731,x748,x693,x631,x755,x771,x747,x741,x761,x773,x772,x785,x786,x787,x791
x716,0,2,2,0,0,1,3,0,1,0,0,0,1,0,1,1,0,2,3,0,0,0,1,0,0,2,1,0,0
x641,0,0,2,6,0,4,0,3,0,5,2,3,0,2,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0
x756,0,0,0,3,0,0,0,1,0,0,0,2,0,0,1,0,0,1,1,2,0,0,1,2,0,0,0,0,0
x722,1,0,0,0,1,1,5,1,0,0,2,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,2,0,0
x738,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0
x715,1,0,0,0,0,0,1,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
x671,0,3,0,0,0,0,0,5,3,1,3,3,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,1
x754,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,5,3,4,0,0,1,0,0,1,0,0
x724,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
x681,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,1,1,0,0,0,1,0,0,1,0
x737,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,1,1
x746,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
x661,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
x744,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
x731,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
x748,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0
x693,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,1,0,2,0,0,1
x631,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
x755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
x771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
x747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
x741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
x761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
x773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
x772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
