,AL-D1,AL-G1,AL-D2,AL-D3,SC-D2,SC-D1,SC,PR-D1,FL-D,RI-D2,FL-G,PR,OV-D1,OV-D2,SL,HA,PL,ES-D,JU-D
AL-D1,0,4,1,9,1,2,2,2,1,7,0,0,1,6,1,4,2,4,0
AL-G1,0,0,2,8,2,5,0,0,0,1,1,0,0,2,2,1,5,3,1
AL-D2,0,0,0,1,2,0,2,2,2,0,0,0,0,4,2,0,1,2,2
AL-D3,0,0,0,0,3,0,1,8,5,2,1,3,0,4,1,1,2,6,0
SC-D2,0,0,0,0,0,3,1,1,2,2,0,1,1,5,2,3,2,1,4
SC-D1,0,0,0,0,0,0,1,8,2,3,1,2,1,1,0,4,2,7,0
SC,0,0,0,0,0,0,0,0,6,1,0,0,1,0,1,1,0,0,1
PR-D1,0,0,0,0,0,0,0,0,1,2,1,0,3,1,2,4,4,0,1
FL-D,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
RI-D2,0,0,0,0,0,0,0,0,5,0,0,3,1,1,2,2,7,5,2
FL-G,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PR,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OV-D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OV-D2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,3,1
SL,0,0,0,0,0,0,0,0,6,0,2,2,8,0,0,0,1,1,1
HA,0,0,0,0,0,0,0,0,4,0,3,3,3,0,0,0,3,0,2
PL,0,0,0,0,0,0,0,0,10,0,6,5,23,0,0,0,0,1,3
ES-D,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1
JU-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
