,BN,RES,FS,12S,7S,PB,WD,LC,SS,DE,BL,2SS,EP,WP,BP,LSSP,LSP,SP
BN,0,1,4,2,3,2,0,1,0,2,0,4,0,1,0,0,2,1
RES,0,0,2,3,2,2,0,0,1,3,0,1,0,0,2,1,0,0
FS,0,0,0,5,3,1,5,0,2,4,0,2,0,0,1,0,1,1
12S,0,0,1,0,4,2,0,0,1,3,0,2,0,1,0,1,1,0
7S,0,0,0,1,0,4,1,0,1,3,0,2,1,0,1,0,0,0
PB,0,0,0,0,0,0,2,0,2,7,3,4,1,1,0,1,0,0
WD,0,0,0,0,0,0,0,1,1,3,1,1,1,0,0,1,0,0
LC,0,0,0,0,0,0,1,0,0,2,0,1,2,2,0,0,0,1
SS,0,0,0,0,0,1,2,1,0,2,1,3,0,0,1,0,1,0
DE,0,0,0,0,0,0,0,0,0,0,3,4,4,2,0,0,0,0
BL,0,0,0,0,0,0,0,0,0,1,0,2,4,2,1,0,0,0
2SS,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,0,1,0
EP,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,2
WP,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,1,3
BP,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2
LSSP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2
LSP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
