,WB,CRB,R,BLANK,KI,B,W,BW,Y2,C2,M,R2,AW,TA,CB
WB,0,0,2,1,3,3,9,3,3,3,1,2,1,4,4
CRB,0,0,2,0,0,2,6,0,0,2,4,0,0,1,1
R,0,0,0,1,3,3,0,0,2,0,1,2,3,0,2
BLANK,0,1,0,0,0,0,0,0,0,2,1,2,8,6,0
KI,0,0,0,1,0,2,2,0,0,2,1,2,3,0,1
B,0,0,1,0,1,0,0,0,2,8,0,0,6,5,1
W,0,0,0,0,0,4,0,0,2,5,5,3,1,2,1
BW,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Y2,0,0,0,5,0,0,0,0,0,1,1,0,1,2,1
C2,0,0,1,0,1,1,0,0,0,0,2,4,0,3,2
M,0,0,0,0,0,1,0,0,0,2,0,0,2,4,1
R2,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0
AW,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
TA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
