,PPS,PBS,GRS,GGS1,GOS,PGS,RYS,OPS,LBS,R-GS,BBS,GGS2,PAS,OWS,XRGS,GAS
PPS,0,14,21,44,5,6,6,14,5,2,2,12,4,5,13,3
PBS,0,0,9,1,2,5,2,5,14,0,1,7,2,10,1,0
GRS,0,0,0,12,1,1,2,6,4,2,3,8,0,2,1,4
GGS1,0,16,2,0,9,0,9,11,14,2,5,23,5,19,0,2
GOS,0,6,0,0,0,1,2,1,2,0,4,4,0,2,0,0
PGS,0,0,2,0,1,0,2,1,6,0,0,5,2,3,3,10
RYS,0,0,0,0,0,0,0,4,14,1,1,23,3,2,1,0
OPS,0,0,0,0,0,0,0,0,13,1,0,6,0,4,0,0
LBS,0,0,0,0,0,0,0,0,0,6,9,16,0,3,0,0
R-GS,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0
BBS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
GGS2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
PAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OWS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XRGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
