,a9,a5,a7,c1,e1,d2,g3,a1,h2,g4,h1,h4,a11,a14,a13,a15,a12,a16,a17,a18,j1,j3,j2,j5,j4
a9,0,33,24,29,18,23,12,7,14,23,17,32,20,20,19,15,14,20,15,13,16,3,8,3,9
a5,1,0,28,9,16,13,25,8,31,50,29,25,14,84,37,25,18,13,24,10,14,5,17,7,1
a7,0,0,0,21,7,18,15,12,12,40,23,21,16,28,57,12,17,12,9,7,8,7,5,0,8
c1,0,0,0,0,10,18,16,7,30,35,15,16,32,13,11,17,23,22,14,16,12,8,13,3,2
e1,0,0,0,0,0,19,21,20,22,73,57,11,14,14,12,28,18,17,10,4,4,1,13,1,3
d2,0,0,0,0,0,0,36,30,26,31,21,19,17,13,18,12,31,22,12,9,16,8,2,9,3
g3,0,0,0,0,0,0,0,15,27,49,13,18,18,16,11,17,16,52,17,8,10,11,16,8,5
a1,1,0,0,0,0,1,1,0,4,12,8,10,2,1,1,1,4,1,2,0,1,0,0,0,0
h2,0,0,0,0,1,0,0,2,0,6,12,10,9,10,15,15,14,15,9,9,3,2,6,0,3
g4,0,0,0,0,1,0,0,14,2,0,25,6,4,9,5,16,1,7,1,1,2,2,2,0,0
h1,0,0,0,0,0,1,0,0,5,6,0,6,2,8,4,9,7,6,8,2,2,9,3,2,2
h4,0,0,0,0,0,0,0,0,3,0,2,0,1,5,4,2,6,4,6,2,0,3,1,0,1
a11,0,0,0,0,0,0,0,0,2,0,0,1,0,4,4,9,15,11,7,3,3,2,4,5,1
a14,0,0,0,0,0,0,0,0,2,0,0,2,1,0,12,4,16,5,7,4,10,5,3,0,1
a13,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,3,4,10,9,4,2,1,2,1,2
a15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,6,3,1,3,1,6,0,1
a12,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,13,4,11,12,2,2,5
a16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,5,0,0,0,3,2,2
a17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,11,1,5,0,4
a18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,6,2,8,1,2
j1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5,2,1
j3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,1,1,3,0,4,2,7
j2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
j5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1
j4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
