,M52,M2,M33,R27,R17,M8,M3,M24,M31,R10,R22,S30,R37,M45,M63,M65,R1,M73,R25,M30
M52,0,0,0,0,2,0,0,1,0,1,1,6,2,1,0,0,1,0,2,0
M2,0,0,1,0,0,5,4,0,1,0,1,1,0,2,0,0,0,1,0,0
M33,0,2,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,1,1
R27,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,1,0,1,0
R17,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0
M8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
M3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
M24,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
M31,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1
R10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
R22,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0
S30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
R37,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
M45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
M63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1
M65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
M73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
