,Macho,Brutus,Marius,Mystere,Nino,Loukoum,Venus,Ricci,Goma,Perla,Belle,Castor,Narcisse,Dilly,Fossey
Macho,0,13,643,96,361,51,42,79,44,48,28,94,53,86,29
Brutus,0,0,5,19,21,4,10,11,11,14,9,12,3,33,3
Marius,0,0,0,20,42,13,11,19,14,15,15,11,15,30,7
Mystere,0,0,0,0,0,7,1,4,2,7,1,19,3,25,0
Nino,0,0,0,0,0,4,0,0,1,1,0,3,0,1,0
Loukoum,0,0,0,1,0,0,2,5,2,6,0,5,3,8,2
Venus,0,0,0,0,0,0,0,2,1,1,4,2,1,4,0
Ricci,0,0,0,0,0,0,1,0,2,1,1,1,0,3,1
Goma,0,0,0,0,0,0,1,0,0,7,3,1,0,21,3
Perla,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1
Belle,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Castor,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0
Narcisse,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Dilly,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Fossey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
