,G,D,J,Y,M,K,B,L,S,C,N,Q,Z,P,T,H,O
G,0,5,9,23,17,7,3,21,7,7,7,13,19,7,3,13,4
D,0,0,1,10,42,3,5,12,10,5,3,9,12,17,6,5,11
J,0,0,0,2,7,2,3,5,3,8,0,3,14,7,9,4,9
Y,0,0,1,0,15,0,1,6,0,7,0,1,3,0,0,1,1
M,0,0,2,2,0,1,0,12,4,21,1,5,7,8,7,0,8
K,0,0,0,0,0,0,3,2,2,2,0,3,7,32,3,4,8
B,0,0,0,1,14,0,0,6,8,18,1,3,1,4,3,6,3
L,0,0,0,1,4,1,0,0,63,1,0,1,25,27,2,19,24
S,0,0,1,17,14,0,0,0,0,37,0,3,34,30,4,11,16
C,0,1,5,3,2,1,0,7,1,0,5,0,5,7,0,1,0
N,0,0,1,0,1,0,0,2,0,3,0,0,1,0,3,2,9
Q,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
Z,0,0,0,5,4,0,0,0,0,0,0,0,0,14,2,5,0
P,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0
T,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,3
H,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
