,S,O,HU,MO,RO,BE,BO,H,HO,MI,GL,M,G,TI,GO,T,TA,N,NU,F,C,CH,K,KL
S,0,5,13,10,6,10,8,7,8,1,4,4,4,11,5,7,9,6,14,7,3,7,2,5
O,0,0,7,6,11,12,12,14,12,0,8,8,3,13,7,5,9,8,13,9,2,6,1,6
HU,0,0,0,13,8,11,7,12,9,12,5,3,6,9,6,4,12,3,5,9,7,6,3,5
MO,0,0,0,0,5,4,0,0,0,4,5,0,2,3,5,3,4,0,4,5,3,5,2,7
RO,0,0,0,0,0,11,8,11,6,0,3,4,4,9,5,1,4,3,9,7,0,7,1,4
BE,0,0,0,0,0,0,7,1,3,0,1,0,0,4,5,4,4,0,8,0,2,4,0,2
BO,0,0,0,0,0,1,0,12,13,5,4,5,7,7,6,5,4,6,7,11,1,6,4,5
H,0,0,0,1,0,2,0,0,2,5,8,2,4,11,5,5,4,3,11,12,3,7,1,4
HO,0,0,0,0,0,3,0,0,0,5,4,4,1,8,5,3,7,5,11,9,0,7,1,2
MI,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,1,0,1,1,3,0,3,0,1
GL,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,3,5,1,12,6,4,2,3,5
M,0,0,0,0,0,2,0,0,0,1,5,0,3,8,10,5,1,6,5,0,3,2,0,2
G,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,2,3,3,4,4,6,3,0,4
TI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,9,10,2,3,3,5
GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,3,0,0,3
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,6,2,2,1,4
TA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,7,8,4,4,1,6
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,3
NU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
KL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
