תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
16/04/2017,אאורה אגח ח,3730355,לא צמוד,1.69%,1.23,אאורה ,BBB,105.6
16/04/2017,אאורה אגח ט,3730397,לא צמוד,3.41%,2.51,אאורה ,BBB,107.58
16/04/2017,אאורה אגח י,3730413,לא צמוד,3.39%,3.5,אאורה ,BBB,104.1
16/04/2017,אבגול אגח ב,1126317,לא צמוד,1.02%,1.17,אבגול,A,108.16
16/04/2017,אבגול אגח ג,1133289,לא צמוד,2.60%,4.65,אבגול,A,111.81
16/04/2017,אברות אגח ד,2970192,לא צמוד,5.80%,2.93,אברות,BBB,101.77
16/04/2017,אדמה אגח ב,1110915,צמוד מדד,3.63%,8.8,אדמה,AA-,138.47
16/04/2017,אדרי-אל אגח ב,1123371,צמוד מדד,21.38%,0.23,אדרי אל,CCC,102
16/04/2017,אורון אגח א,1135714,לא צמוד,2.31%,2.11,אורון,A-,104.55
16/04/2017,אזורים אגח 8,7150246,צמוד מדד,1.83%,0.69,אזורים,A-,124.16
16/04/2017,אידיבי פת אגח ז,7980121,צמוד מדד,5.48%,0.62,אדיבי פת,BB,126.03
16/04/2017,אידיבי פת אגח ט,7980154,צמוד מדד,7.48%,5.14,אדיבי פת,BB,107.6
16/04/2017,אידיבי פת אגח י,7980162,לא צמוד,3.40%,1.13,אדיבי פת,BB,105.82
16/04/2017,איידיאו אגח ז,5050240,צמוד מדד,1.95%,4.31,איידיאו,A,110.61
16/04/2017,איידיאו אגח ח,5050265,צמוד מדד,2.56%,6.6,איידיאו,A,100.22
16/04/2017,אלומיי אגח א,1130947,לא צמוד,2.35%,3.42,אלומיי,A-,109.23
16/04/2017,אלומיי אגח ב,1140326,לא צמוד,3.35%,4.5,אלומיי,A-,100.84
16/04/2017,אלוני חץ אגח ו,3900206,צמוד מדד,0.98%,1.38,אלוני חץ,AA-,125.7
16/04/2017,אלוני חץ אגח ח,3900271,צמוד מדד,1.16%,3.21,אלוני חץ,AA-,113.72
16/04/2017,אלוני חץ אגח ט,3900354,לא צמוד,3.09%,6.03,אלוני חץ,AA-,105.05
16/04/2017,אלוני חץ אגח י,3900362,לא צמוד,1.88%,7.62,אלוני חץ,AA-,103.96
16/04/2017,אלקו אגח יא,6940167,לא צמוד,1.96%,3.41,אלקו,A+,112.61
16/04/2017,אלקטרה אגח ד,7390149,לא צמוד,2.14%,4.31,אלקטרה,AA-,108.2
16/04/2017,אלקטרה נדלןאגחד,1121227,צמוד מדד,1.34%,1.95,אלקטרה,BBB,113.96
16/04/2017,אמות אגח א,1097385,צמוד מדד,0.86%,1.18,אמות,AA,128.01
