שם אגח,תשואה ברוטו,תשואה נטו,מחמ,חברה,דירוג 
אאורה אגח ז,1.73,-0.06,0.63,אאורה ,BBB
אאורה אגח ח,1.69,0.54,1.3,אאורה ,BBB
אאורה אגח ט,3.75,2.85,2.62,אאורה ,BBB
אאורה אגח י,3.93,3.26,3.6,אאורה ,BBB
אבגול אגח ב,1.01,-0.01,1.27,אבגול,A
אבגול אגח ג,2.7,2,4.75,אבגול,A
אביב ארלן אגח ד,3.19,1.2,0.71,אביב אלרון, 
אביב ארלן אגח ה,2.3,0.78,2.54,אביב אלרון, 
אביב ארלן אגח ו,3.71,2.88,3.63,אביב אלרון, 
אביב בניה אגח 5,2.78,1.87,2.46,אביב בניה, 
אבנר אגח א,3.76,2.6,4.36,אבנר, 
אברות אגח ד,5.13,4.21,3.06,אברות,BBB
אגוד הנ שה נד 1,1.17,-0.06,3.25,אגוד, 
אגוד הנ שה נד 2,1.56,1.17,3.37,אגוד, 
אגוד הנפ אגח ו,0.44,-0.21,0.89,אגוד, 
אגוד הנפ אגח ז,1.29,0.72,2.89,אגוד, 
אגוד הנפ אגח ח,1.2,1.03,3.18,אגוד, 
אגוד הנפ אגח ט,0.78,0.54,4.39,אגוד, 
אגוד הנפ התח יז,0.43,-0.93,0.55,אגוד, 
אגוד הנפ התח יח,1.22,0.97,2.68,אגוד, 
אגוד הנפ התח יט,0.91,-0.25,3.11,אגוד, 
אדגר אגח ו,3.9,-1.28,0.15,אדגר, 
אדגר אגח ז,1.37,-0.09,1.75,אדגר, 
אדגר אגח ח,2.15,1.25,3.59,אדגר, 
אדגר אגח ט,3.11,1.95,5.53,אדגר, 
אדמה אגח ב,3.81,2.57,8.86,אדמה,AA-
אדרי-אל אגח ב,6.43,4.39,0.34,אדמה,CCC
אול-יר אגח א,5.29,3.58,3.27,אול יר, 
אול-יר אגח ב,5.01,4.03,3.3,אול יר, 
אול-יר אגח ג,4.05,3.44,5.81,אול יר, 
אופטיבייס אגח א,4.47,3.41,2.36,אופטיבייס, 
אורון אגח א,2.57,1.95,2.21,אורון,A-
אורן השק אגח ד,8.24,7.17,2.92,אורן, 
אזורים אגח 10,2.11,1.35,2.62,אזורים, 
אזורים אגח 11,2.48,1.78,3.48,אזורים, 
אזורים אגח 12,3.36,2.86,4.84,אזורים, 
אזורים אגח 8,1.38,-0.26,0.8,אזורים,A-
אזורים אגח 9,1.52,0.19,2.66,אזורים, 
איאסאראר אגח ג,3.31,2.07,0.48,אי אס אר אר, 
איאסאראר אגח ד,4.36,3.17,2.37,אי אס אר אר, 
איאסאראר אגח יד,3.51,2.1,0.97,אי אס אר אר, 
אידיבי פת אגח ז,4.83,2.58,0.73,אי אס אר אר,BB
אידיבי פת אגח ט,7.76,6.31,5.24,אדיבי פת,BB
אידיבי פת אגח י,4.04,2.89,1.23,אדיבי פת,BB
אידיביפת אגח יא,2.57,1.51,2.59,אדיבי פת, 
אידיביפת אגח יב,4.51,3.47,2.51,אדיבי פת, 
אידיביפת אגח יג,5.18,4.32,2.54,אדיבי פת, 
איידיאו אגח ה,1.39,0.24,2.38,איידיאו,A
איידיאו אגח ז,2.15,1.14,4.41,איידיאו,A
איידיאו אגח ח,2.74,2.1,6.7,איידיאיי,A
איידיאייהנ הת ב,1.3,-0.09,1.66,איידיאיי, 
איידיאייהנ הת ג,1.44,0.36,3.51,איידיאיי, 
איידיאייהנ הת ד,2.81,2.16,4.83,איידיאיי, 
אינטרנט זהבאגחג,1.43,0.35,1.47,אינטרנט זהב, 
אינטרנט זהבאגחד,2.11,0.73,3.6,אינטרנט זהב, 
אלביט הד אגח ח,7.37,5.56,1.19,אלביט הדמיה, 
אלביט הד אגח ט,16.07,12.82,2.73,אלביט הדמיה, 
אלביט מערכ אגחא,0.86,0.1,1.76,אלביט, 
אלבר אגח טו,2.83,2.36,3.23,אלבר, 
אלבר אגח טז,2.17,1.58,3.82,אלבר, 
אלבר אגח יג,1.53,0.35,1.07,אלבר, 
