תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
25/01/2017,אאורה אגח ח,3730355,לא צמוד,2.63,1.41,אאורה ,BBB,106.8
25/01/2017,אאורה אגח ט,3730397,לא צמוד,4.12,2.73,אאורה ,BBB,104.82
25/01/2017,אאורה אגח י,3730413,לא צמוד,4.24,3.71,אאורה ,BBB,100.11
25/01/2017,אבגול אגח ב,1126317,לא צמוד,1.08,1.39,אבגול,A,107.82
25/01/2017,אבגול אגח ג,1133289,לא צמוד,3.06,4.85,אבגול,A,108.79
25/01/2017,אברות אגח ד,2970192,לא צמוד,5.00,3.18,אברות,BBB,102.8
25/01/2017,אדמה אגח ב,1110915,צמוד מדד,3.95,8.94,אדמה,AA-,133.29
25/01/2017,אדרי-אל אגח ב,1123371,צמוד מדד,5.49,0.45,אדרי אל,CCC,104
25/01/2017,אורון אגח א,1135714,לא צמוד,2.83,2.32,אורון,A-,102.8
25/01/2017,אזורים אגח 8,7150246,צמוד מדד,1.25,0.92,אזורים,A-,124.18
25/01/2017,אידיבי פת אגח ז,7980121,צמוד מדד,7.97,0.84,אדיבי פת,CCC,121.99
25/01/2017,אידיבי פת אגח ט,7980154,צמוד מדד,8.76,5.3,אדיבי פת,CCC,99.23
25/01/2017,אידיבי פת אגח י,7980162,לא צמוד,8.07,1.34,אדיבי פת,CCC,99
25/01/2017,איידיאו אגח ה,5050166,צמוד מדד,1.65,2.49,איידיאו,A,107.91
25/01/2017,איידיאו אגח ז,5050240,צמוד מדד,2.16,4.53,איידיאו,A,109.05
25/01/2017,אלומיי אגח א,1130947,לא צמוד,3.02,3.62,אלומיי,A-,106.15
25/01/2017,אלוני חץ אגח ו,3900206,צמוד מדד,1.20,1.08,אלוני חץ,AA-,128.12
25/01/2017,אלוני חץ אגח ח,3900271,צמוד מדד,1.28,2.88,אלוני חץ,AA-,115.84
