PSD95 1.0,[ 0.47327218  0.52672782]
GAIP 1.0,[ 0.49039252  0.50960748]
ABP1 1.0,[ 0.49762566  0.50237434]
ARIP2 1.0,[ 0.49473869  0.50526131]
CALRETICULIN 0.0,[ 0.5087377  0.4912623]
GLYT1 0.0,[ 0.5112538  0.4887462]
PQCaCh 0.0,[ 0.52514647  0.47485353]
COFILIN 1.0,[ 0.49026681  0.50973319]
ANKYRIN 1.0,[ 0.48990952  0.51009048]
RYR 0.0,[ 0.51824865  0.48175135]
EEF2K 0.0,[ 0.50576443  0.49423557]
TAU 1.0,[ 0.48965669  0.51034331]
MNK1 1.0,[ 0.501342  0.498658]
DYNEIN 1.0,[ 0.48374893  0.51625107]
POTASSIUM 1.0,[ 0.49880367  0.50119633]
GABARAP 1.0,[ 0.49048159  0.50951841]
SYNTAXIN 0.0,[ 0.51118834  0.48881166]
SV2A 0.0,[ 0.49843813  0.50156187]
ADPRIBSYCYCLASE 1.0,[ 0.49501682  0.50498318]
IGF1R 1.0,[ 0.49396706  0.50603294]
KV42 0.0,[ 0.50182417  0.49817583]
NWASP 1.0,[ 0.49215442  0.50784558]
PSD93 1.0,[ 0.48980199  0.51019801]
CAMKI 1.0,[ 0.49189479  0.50810521]
CAMKK 1.0,[ 0.4980333  0.5019667]
IKBA 1.0,[ 0.49586993  0.50413007]
S40 0.0,[ 0.51067814  0.48932186]
JIP 1.0,[ 0.4867296  0.5132704]
COMPLEXIN 0.0,[ 0.49295438  0.50704562]
RHEB 1.0,[ 0.48960771  0.51039229]
DREAM 0.0,[ 0.50167719  0.49832281]
SNAP25 0.0,[ 0.51038611  0.48961389]
SPECTRIN 1.0,[ 0.48885005  0.51114995]
SHANK 1.0,[ 0.48950915  0.51049085]
GRB10 1.0,[ 0.49460779  0.50539221]
RICS 1.0,[ 0.4913492  0.5086508]
CAMKIV 1.0,[ 0.49259916  0.50740084]
CAMKII 1.0,[ 0.48676557  0.51323443]
PTEN 1.0,[ 0.48518485  0.51481515]
JNK 0.0,[ 0.49989349  0.50010651]
RASGRP3 1.0,[ 0.49823304  0.50176696]
SYNTENIN 1.0,[ 0.48044229  0.51955771]
CRIPT 1.0,[ 0.48787452  0.51212548]
GAP43 1.0,[ 0.491598  0.508402]
SSCAM 1.0,[ 0.4935669  0.5064331]
ENKEPHALIN 0.0,[ 0.51071113  0.48928887]
M2R 0.0,[ 0.51558016  0.48441984]
MST3 1.0,[ 0.4943723  0.5056277]
ADDUCIN 1.0,[ 0.50129713  0.49870287]
NFM 1.0,[ 0.4913492  0.5086508]
NFH 1.0,[ 0.49319563  0.50680437]
mRNA 0.0,[ 0.51968511  0.48031489]
PKCE 1.0,[ 0.49151892  0.50848108]
ANANDAMIDE 0.0,[ 0.51180366  0.48819634]
HCK 1.0,[ 0.48848403  0.51151597]
COOL 1.0,[ 0.49169607  0.50830393]
MERLIN 1.0,[ 0.49815978  0.50184022]
tRNA 0.0,[ 0.50638163  0.49361837]
NOPR 0.0,[ 0.50877222  0.49122778]
CBL 1.0,[ 0.4851088  0.5148912]
M4R 0.0,[ 0.5135518  0.4864482]
CBP 0.0,[ 0.51047554  0.48952446]
GIT1 1.0,[ 0.48896147  0.51103853]
NASCENTCHAIN 0.0,[ 0.50755798  0.49244202]
NOS 1.0,[ 0.49154789  0.50845211]
DOK 1.0,[ 0.49300336  0.50699664]
RALBP1 1.0,[ 0.48310516  0.51689484]
S6 0.0,[ 0.5076041  0.4923959]
RET 0.0,[ 0.50142073  0.49857927]
XIAP 1.0,[ 0.48624092  0.51375908]
EPAC 1.0,[ 0.49071685  0.50928315]
NEUREXIN 0.0,[ 0.50256734  0.49743266]
ADAPTIN 1.0,[ 0.49085669  0.50914331]
FILAMIN 1.0,[ 0.49094885  0.50905115]
Potassium 1.0,[ 0.49486683  0.50513317]
PHAS 0.0,[ 0.50032256  0.49967744]
