Irbisgreif,0,596,1315,0,4772,167,0,201,0,0,0,17,0,0
Someoneanother,0,9,242,0,604,0,0,85,0,0,0,1,0,0
Mkamensek,0,0,1,0,66,0,0,1,0,0,0,0,0,0
CanadianMonkey,0,1,368,0,300,0,0,34,0,0,0,0,0,0
Dcheagle,0,0,21,0,181,0,0,5,0,0,0,0,0,0
Avocado,0,0,101,0,48,0,0,6,0,0,0,0,0,0
Hemmingsen,0,113,343,0,1670,7,0,77,0,0,0,0,0,0
ZachInOhio,0,0,31,0,129,0,0,10,0,0,0,0,0,0
Nanobear,0,1,143,0,428,0,0,67,0,0,0,0,0,0
Ganfon,0,4914,3939,44,8049,518,1,389,0,4,5,51,0,0
DarkFalls,0,22163,17840,5005,17569,3466,681,2624,275,95,205,381,178,34
Skoppensboer,0,0,64,0,83,0,0,4,0,0,0,0,0,0
Government07,0,0,11,0,167,0,0,9,0,0,0,0,0,0
Lobojo,0,0,450,0,278,0,0,71,0,0,0,0,0,0
Kommondant,0,0,130,0,181,0,0,32,0,0,0,0,0,0
Pattav2,0,206,538,61,0,2,1,0,0,0,0,0,0,0
TheHoosierState89,0,1,66,0,118,0,0,8,0,0,0,0,0,0
PrivateButcher,0,12271,5741,1071,6342,1389,329,763,61,17,27,184,73,7
Buffadren,0,0,4,0,63,0,0,0,0,0,0,0,0,0
Bakasuprman,0,615,2874,0,4245,141,0,510,0,0,0,24,0,0
No31328,0,0,7,0,105,0,0,7,0,0,0,0,0,0
Ks0stm,0,9412,6148,860,6422,1104,97,880,57,40,51,149,36,1
JoeDecker,0,11348,10179,1658,11551,2683,324,1650,127,73,127,312,116,12
Seeeko,0,0,0,0,212,0,0,6,0,0,0,0,0,0
CurtWilhelmVonSavage,0,512,1686,0,2092,111,0,151,0,0,0,7,0,0
RL0919,0,10250,4394,1082,3973,661,67,840,91,5,23,114,27,3
Rewtguy,0,0,12,0,479,0,0,10,0,0,0,0,0,0
HavelocktheDane,0,1,99,0,307,0,0,56,0,0,0,0,0,0
JP06035,0,7221,1645,535,715,150,32,9,0,0,0,0,0,0
Seddon69,0,20,138,0,747,1,0,29,0,0,0,0,0,0
Chrishmt0423,0,0,17,0,192,0,0,6,0,0,0,1,0,0
Eagle101,0,10191,6540,1405,5819,984,124,1146,85,23,45,149,42,0
